User,Date,post_text,quotedPost_text,Reply_count,Repost_count,Like_count,View_count
@akuria448927,2026-01-19-00:23:11,Makan bergizi gratis hadirkan gizi seimbang bagi anak anak Papua raih masa depan gemilang#westpapua#westpapua  #BangkitPapua#BangkitPapua  #PerubahanNyataTanahPapua#PerubahanNyataTanahPapua  #TransformasiBumiCendrawasih#TransformasiBumiCendrawasih ,,0,0,0,11
@yuliannaaja,2026-01-19-00:14:59,"Makan bergizi, generasi prestasi! Dukung Program MBG untuk ciptakan siswa sehat, cerdas, dan siap bersaing. Menu gizi seimbang dukung pertumbuhan dan prestasi siswa. Ayo sukseskan MBG! #MBG#MBG  #MakanBergizi#MakanBergizi  #GenerasiPrestasi#GenerasiPrestasi ",,4,0,1,9
@PanganKuatID,2026-01-19-00:14:19,"Makan bergizi, generasi prestasi! Dukung Program MBG untuk ciptakan siswa sehat, cerdas, dan siap bersaing. Menu gizi seimbang dukung pertumbuhan dan prestasi siswa. Ayo sukseskan MBG! #MBG#MBG  #MakanBergizi#MakanBergizi  #GenerasiPrestasi#GenerasiPrestasi ",,4,0,1,12
@megaa_aditya,2026-01-18-23:54:33,"Investasi masa depan nggak harus ribet, cukup mulai dari makan bergizi gratis yang dukung petani dan UMKM lokal #SetahunMBG#SetahunMBG ",,0,0,0,24
@Aceh,2026-01-18-23:51:31,"Pemerintah mengalokasikan ±Rp17,18 miliar per hari untuk Program Makan Bergizi Gratis (MBG) di Aceh, menjangkau 1,7 juta penerima lewat 553 SPPG. Program ini fokus menekan stunting dan meningkatkan SDM, sekaligus didorong melibatkan UMKM, petani, dan peternak lokal agar anggaran",,1,1,8,247
@G0RIP,2026-01-18-23:50:44,Makan Bergizi Gratis dari Ngutang??@prabowo@prabowo  #indonesiagelap#indonesiagelap ,,0,0,0,28
@zanatul_91,2026-01-18-23:25:06,"semua negara yang menerapkan MBG, goalsnya peningkatan SDM melalui pendidikan. Jadi, tujuan makan bergizi supaya membantu belajar makin cerdas. Kalau anggaran pendidikannya dipotong, akan menurunkan kualitas pendidikan, justru gizinya mubazir, karena alat asahnya kurang biaya.",,0,0,10,790
@Mastndur,2026-01-18-23:12:35,Kan di sini pendidikan opsionalMakan bergizi gratis Pioritas,,0,0,0,103
@Super_Mun,2026-01-18-23:04:45,"MBG itu porsi sehari nya 15rb kah, kalo 15rb sehari nya saya rasa cukup untuk menu makan, yg penting 15rb jgn kurang. 
Nasi ikan/ayam tempe sayur, kalo memang untuk tambahan buah atau susu tidak cukup untuk porsi 15rb, gue rasa itu cukup bergizi dan kenyang,",,0,0,0,12
@OpiniPublick,2026-01-18-22:08:36,"Program Makan Bergizi Gratis (MBG) bukan sekadar membagikan makanan, tetapi juga menggerakkan ekonomi lokal dengan menyerap produk petani dan pelaku usaha di sekitar dapur gizi.",,0,0,0,19
@manaf_sabil,2026-01-18-22:06:52,"Program Makan Bergizi Gratis (MBG) bukan sekadar membagikan makanan, tetapi juga menggerakkan ekonomi lokal dengan menyerap produk petani dan pelaku usaha di sekitar dapur gizi.",,0,0,0,16
@ilhamanasa12527,2026-01-18-22:03:31,Investasi terbaik untuk masa depan bangsa dimulai dari piring makan anak-anak kita. Dukung penuh program Makan Bergizi Gratis untuk generasi emas yang lebih kuat dan cerdas! #MakanBergiziGratis#MakanBergiziGratis  #GenerasiEmas2045#GenerasiEmas2045 ,,0,0,0,8
@ilhamanasa12527,2026-01-18-22:03:19,Investasi terbaik untuk masa depan bangsa dimulai dari piring makan anak-anak kita. Dukung penuh program Makan Bergizi Gratis untuk generasi emas yang lebih kuat dan cerdas! #MakanBergiziGratis#MakanBergiziGratis  #GenerasiEmas2045#GenerasiEmas2045 ,,0,0,0,9
@ilhamanasa12527,2026-01-18-22:03:13,Investasi terbaik untuk masa depan bangsa dimulai dari piring makan anak-anak kita. Dukung penuh program Makan Bergizi Gratis untuk generasi emas yang lebih kuat dan cerdas! #MakanBergiziGratis#MakanBergiziGratis  #GenerasiEmas2045#GenerasiEmas2045 ,,0,0,0,11
@diofikr,2026-01-18-21:48:54,"MBG itu singkatan dari Makan Bergizi Gratis, gw yg udah baca bocah2 keracunan, mangkas apbn lain.. bergizi dan gratis itu yg mana nya?",,0,0,0,233
@bellavi65,2026-01-18-21:40:24,"Makan Bergizi Gratis bukan sekadar bantuan, tapi investasi jangka panjang untuk kualitas SDM Indonesia. Anak sehat, bangsa kuat.#MBG#MBG  #MakanBergiziGratis#MakanBergiziGratis  #GenerasiEmas#GenerasiEmas  #IndonesiaMaju#IndonesiaMaju  #PemerintahHadir#PemerintahHadir ",,0,1,0,16
@bagindo_kopi,2026-01-18-21:11:56,"Ekonom sekaligus Sekretaris Jenderal International Economic Association, Lili Yan Ing, menilai anggaran Makan Bergizi Gratis (MBG) pada 2026 tidak perlu mencapai Rp 335 triliun. Menurutnya, alokasi anggaran yang wajar cukup sekitar Rp 8 triliun.

“Jumlah siswa di Indonesia hanya",,3,9,10,343
@sanifikasi,2026-01-18-20:46:08,menu makan bergizi gratis 🤭🤭,,1,0,0,25
@venusdocxx,2026-01-18-20:32:13,Program makan bergizi gratis adalah Kerja Nyata untuk mencetak generasi emas yang sehat mari kita kawal bersama agar setiap anak sekolah mendapatkan hak gizi terbaiknya #LanjutkanMBG#LanjutkanMBG BRIGHT CELEBRATE WITH LOVE #KhemjiraConcertDay2#KhemjiraConcertDay2  #JimmyGraduationDay#JimmyGraduationDay ,,0,0,0,314
@lpbulukumba,2026-01-18-20:14:36,"Akselerasi Menteri Imigrasi dan Pemasyarakatan: 1️⃣ Pemeriksaan kesehatan gratis bagi warga binaan. 2️⃣ Pelaksanaan pendidikan (Paket A, B, C & PKBM). 3️⃣ Bantuan sosial & pemenuhan makan bergizi. 4️⃣ Tes urine & penggeledahan rutin secara berkala. 5️⃣ Penguatan keamanan",,1,0,0,7
@bacotanhamba_,2026-01-18-19:38:46,mbg makan bergizi gratis,,0,0,0,6
@marianamariaman,2026-01-18-19:34:38,"PGM Indonesia Soroti Ketidakadilan Status PPPK Guru Madrasah

PGM Indonesia melayangkan kritik keras terhadap Perpres Nomor 115 Tahun 2025 terkait Program Makan Bergizi Gratis.",,1,0,0,16
@PiyeTerus,2026-01-18-19:24:14,"Semua kritikan gak berani tunjukan sekolah mana, tgl berapa dibagikan, hanya video sepotong gak jelas, artinya mbg ini berjalan di jaln yang benar, banyak yg terbantu dan jelas banyak yg panik, negara kasih makan bergizi ke rakyatnya kok diprotes, jalan terus pak",,2,0,0,422
@mylifeastea,2026-01-18-19:23:16,"proyek bergizi gratis ini emg ga ada yg gratis. bisa jadi kesehatan dan keselamatan yg makan lah yg dipertaruhkan.
jd inget pernah dimarahin sm bapak2 waktu lg pengukuran + ngasih pmt door to door anak2 yg diduga stunting waktu kkn dulu.","Sadis banget ini dapur MBG
Roti2 sudah berjamur dibagikan ke ratusan siswa",1,1,0,197
@penerima_b4nsos,2026-01-18-19:13:57,"Bodoh part 3. 
berarti anda mengakui MBG itu bukan kebijakan yg efisien. tujuannya gizi dan outputnya cuma kenyang. mencegah stunting dengan memberi makan anak sekolah itu udh another level kebodohan. bergizi kagak keracunan iya.
bakar-bakar angggaran untuk sesuatu yg sia-sia.",,0,0,0,14
@PutraMelay6837,2026-01-18-19:02:19,"Pendidik gratis sulit dikorupsi, sedangkan MBG jauh lebih mudah potong kanan potong kiri, supaya bisa dapat Cuan. Makan bergizi sayur basi atau buah busuk atau roti gandum tanpa isi, gizi dari mana?",,0,0,1,35
@chiyawoo,2026-01-18-18:47:28,"Justru mending uangnya MBG buat buka lapangan pekerjaan biar anak anak makan ""bergizi"" nya gak cuma makan siang, makan malam sama sarapan juga bergizi soalnya orang tuanya punya pekerjaan yang jelas",,0,2,6,263
@BBoni85629,2026-01-18-18:41:39,Penyesuaian mekanisme Program Makan Bergizi Gratis selama bulan Ramadhan,,0,0,0,12
@prokaltengdotco,2026-01-18-18:27:03,"Bukan Cuma Soal Menu, Ini Kunci Program Makan Bergizi Gratis Berjalan Efektif",,0,0,0,7
@otnayram_me,2026-01-18-18:07:20,Uceet duit segitu banyak cuma buat produksi tokai dan kl lagi apes para penerimanya masuk igdMakan Bergizi(kadang beracun) Gratis cuma jadi bancakan para pajabat dan para anteknya,,0,0,0,7
@faktabaik,2026-01-18-17:59:57,"Sepanjang 2025, beberapa hal mulai dijalankan:

Stabilitas nasional dijaga; Makan Bergizi Gratis mulai berjalan; ketahanan pangan diperkuat; akses pendidikan diperluas; dan posisi Indonesia di tingkat internasional dikokohkan. ⬇️",,1,0,0,9
@vinaafrz,2026-01-18-17:44:16,"Upaya sabotase terhadap Program Makan Bergizi Gratis tidak akan menghentikan Kerja Nyata pemerintah dalam memenuhi hak gizi masyarakat

ONCE UPON A TIME WITH GAWIN
Raquat Tertanda BRIGHT CELEBRATE WITH LOVE #LanjutkanMBG#LanjutkanMBG  #MELAxGAWIN#MELAxGAWIN ",,1,0,2,3587
@Penerangan0730,2026-01-18-17:26:28,"Babinsa Koramil 08 Ponjong Kodim 0730/Gunungkidul Serka Surahman melaksanakan monitoring pendistribusian Makan Bergizi Gratis (MBG) bertempat di Padukuhan susukan, Kalurahan Genjahan Kapanewon Ponjong Kabupaten Gunungkidul.",,0,0,0,9
@_yoonalim_,2026-01-18-17:21:25,"Mengesampingkan soal keracunan, sebenarnya MBG itu ga pantas berlebel 'bergizi'. Gua tiap liat menunya aja ga nemu gizinya dimana? 🤣 Kalau emang niat bikin MBG, contoh noh makan siang Jepang gimana prosedur pembuatannya",,1,0,0,282
@hugo_jukiru,2026-01-18-17:21:04,"Program makan bergizi gratis bukan cuma buat anak sekolah, tapi juga jadi gerakan kedaulatan pangan lokal yang dukung petani #SetahunMBG#SetahunMBG ",,0,0,0,10
@Penerangan0730,2026-01-18-17:19:13,Babinsa Koramil 10 Semanu Kodim 0730/Gunungkidul Sertu Irjan melaksanakan monitoring pendistribusian Makan Bergizi Gratis (MBG) bertempat di wilayah Kalurahan Semanu Kapanewon Semanu Kabupaten Gunungkidul.,,0,0,0,6
@HumasDau,2026-01-18-17:11:08,Dukung program pemerintah! 👮‍♂️🍱 Plt. Kapolsek Dau diwakili Aipda Dhafid hadiri peresmian Dapur Makan Bergizi Gratis (MBG) Yayasan Arrohmah di Desa Selorejo (17/01).Langkah nyata wujudkan SDM sehat & cerdas melalui pemenuhan gizi masyarakat.🛡️✨ #PolsekDau#PolsekDau  #MakanBergiziGratis#MakanBergiziGratis  #Dau#Dau ,,0,0,0,16
@HumasDau,2026-01-18-17:10:21,Dukung program pemerintah! 👮‍♂️🍱 Plt. Kapolsek Dau diwakili Aipda Dhafid hadiri peresmian Dapur Makan Bergizi Gratis (MBG) Yayasan Arrohmah di Desa Selorejo (17/01).Langkah nyata wujudkan SDM sehat & cerdas melalui pemenuhan gizi masyarakat.🛡️✨ #PolsekDau#PolsekDau  #MakanBergiziGratis#MakanBergiziGratis  #Dau#Dau ,,0,0,0,14
@banget_siska,2026-01-18-16:47:29,Investasi terbaik untuk masa depan bangsa dimulai dari piring makan anak-anak kita. Dukung penuh program Makan Bergizi Gratis untuk generasi emas yang lebih kuat dan cerdas! #MakanBergiziGratis#MakanBergiziGratis  #GenerasiEmas2045#GenerasiEmas2045 ,,0,0,0,12
@banget_siska,2026-01-18-16:47:21,Investasi terbaik untuk masa depan bangsa dimulai dari piring makan anak-anak kita. Dukung penuh program Makan Bergizi Gratis untuk generasi emas yang lebih kuat dan cerdas! #MakanBergiziGratis#MakanBergiziGratis  #GenerasiEmas2045#GenerasiEmas2045 ,,1,0,0,13
@banget_siska,2026-01-18-16:47:19,Investasi terbaik untuk masa depan bangsa dimulai dari piring makan anak-anak kita. Dukung penuh program Makan Bergizi Gratis untuk generasi emas yang lebih kuat dan cerdas! #MakanBergiziGratis#MakanBergiziGratis  #GenerasiEmas2045#GenerasiEmas2045 ,,1,0,0,20
@infobdg,2026-01-18-16:40:32,"Bacaan: rri.co.id/makan-bergizi-
… …",,0,0,1,1992
@mikuroQ,2026-01-18-16:39:11,Tidak ada Makan Bergizi Gratis tp Makan dari pajak,,5,8,14,230
@NusantaraHukum,2026-01-18-16:37:36,"Makan Bergizi Gratis adalah langkah nyata negara. Menyiapkan generasi cerdas, sekaligus menggerakkan ekonomi rakyat.#MakanBergiziGratis#MakanBergiziGratis #GenerasiCerdas#GenerasiCerdas #EkonomiRakyat#EkonomiRakyat #NegaraHadir#NegaraHadir #IndonesiaMaju#IndonesiaMaju ",,0,0,1,7
@NusantaraHukum,2026-01-18-16:36:27,"Makan Bergizi Gratis adalah langkah nyata negara. Menyiapkan generasi cerdas, sekaligus menggerakkan ekonomi rakyat.#MakanBergiziGratis#MakanBergiziGratis #GenerasiCerdas#GenerasiCerdas #EkonomiRakyat#EkonomiRakyat #NegaraHadir#NegaraHadir #IndonesiaMaju#IndonesiaMaju ",,0,0,1,6
@NusantaraHukum,2026-01-18-16:36:21,"Makan Bergizi Gratis adalah langkah nyata negara. Menyiapkan generasi cerdas, sekaligus menggerakkan ekonomi rakyat.#MakanBergiziGratis#MakanBergiziGratis #GenerasiCerdas#GenerasiCerdas #EkonomiRakyat#EkonomiRakyat #NegaraHadir#NegaraHadir #IndonesiaMaju#IndonesiaMaju ",,0,0,1,5
@mikirdoeloe,2026-01-18-16:04:58,"Program Makan Bergizi Gratis membuktikan bahwa kehadiran negara nyata untuk masa depan generasi. Gizi terpenuhi, anak sehat, prestasi meningkat. MBG berhasil menjadi fondasi Indonesia yang lebih kuat.#MBGBerhasil#MBGBerhasil  #MakanBergiziGratis#MakanBergiziGratis  #GiziUntukGenerasi#GiziUntukGenerasi  #AnakSehatIndonesiaKuat#AnakSehatIndonesiaKuat ",,1,0,0,13
@mikirdoeloe,2026-01-18-16:04:51,"Program Makan Bergizi Gratis membuktikan bahwa kehadiran negara nyata untuk masa depan generasi. Gizi terpenuhi, anak sehat, prestasi meningkat. MBG berhasil menjadi fondasi Indonesia yang lebih kuat.#MBGBerhasil#MBGBerhasil  #MakanBergiziGratis#MakanBergiziGratis  #GiziUntukGenerasi#GiziUntukGenerasi  #AnakSehatIndonesiaKuat#AnakSehatIndonesiaKuat ",,1,0,0,12
@mikirdoeloe,2026-01-18-16:04:41,"Program Makan Bergizi Gratis membuktikan bahwa kehadiran negara nyata untuk masa depan generasi. Gizi terpenuhi, anak sehat, prestasi meningkat. MBG berhasil menjadi fondasi Indonesia yang lebih kuat.#MBGBerhasil#MBGBerhasil  #MakanBergiziGratis#MakanBergiziGratis  #GiziUntukGenerasi#GiziUntukGenerasi  #AnakSehatIndonesiaKuat#AnakSehatIndonesiaKuat ",,1,0,0,10
@MakanSagoo,2026-01-18-16:04:19,"Program Makan Bergizi Gratis di Papua bukan sekadar memberi makan hari ini, tetapi menyiapkan generasi kuat untuk masa depan. Anak sehat, Papua bangkit, Indonesia maju. #MBGPapua#MBGPapua , #GiziUntukMasaDepan#GiziUntukMasaDepan , #PapuaSehat#PapuaSehat ",,1,0,0,15
@HantamanHijau,2026-01-18-16:01:23,Makan Bergizi Gratis untuk Tingkatkan Kualitas Gizi Anak Indonesia #MakanBergiziGratis#MakanBergiziGratis ,,2,0,0,6
@Lex_Ziger,2026-01-18-15:54:37,"Kasus dugaan sabotase makanan ini benar-benar keterlaluan karena mencederai semangat relawan yang sedang menunjukkan bukti Kerja Nyata demi menyukseskan program makan bergizi gratis#LanjutkanMBG#LanjutkanMBG  

Carrick PondPhuwin KNP TFO CONCERT King MU Dorgu",,0,0,1,71
@merseysideliv,2026-01-18-15:46:03,"Harusnya kepsek ini bersyukur muridnya dapet makanan bergizi dari MBG, karena bisa aja ada anak yang ga bisa makan enak karena berasal dari keluarga miskin. Adapun soal busuk, tenang aja itu udah diperhitungkan, memang anak-anak butuh bakteri baik untuk pencernaan #LanjutkanMBG#LanjutkanMBG ",,1,0,1,46
@sambatdsk,2026-01-18-15:44:05,"Program Makan Bergizi Gratis di Papua bukan sekadar memberi makan hari ini, tetapi menyiapkan generasi kuat untuk masa depan. Anak sehat, Papua bangkit, Indonesia maju. #MBGPapua#MBGPapua , #GiziUntukMasaDepan#GiziUntukMasaDepan , #PapuaSehat#PapuaSehat ",,0,0,0,113
@tono_stwn0013,2026-01-18-15:42:57,"Makan bergizi gratis hadir nggak sekadar solusi gizi anak, tapi juga bentuk nyata investasi masa depan lewat pangan lokal #SetahunMBG#SetahunMBG ",,0,0,0,15
@SINDOnews,2026-01-18-15:30:00,"Distribusi Program Makan Bergizi Gratis (MBG) didukung kerja keras petugas dapur di lapangan.

Di Jampang Kulon, Kabupaten Sukabumi, seorang petugas SPPG menggunakan cara sederhana namun efektif untuk mempercepat pengemasan ompreng MBG setiap hari.

Pemanfaatan tali rafia yang",,0,0,1,665
@dewsfaz,2026-01-18-15:16:03,Bro bilang itu makanan bergizi gratis padahal anak-anak pas makan bukannya sehat malah keracunan🤌🏻🤌🏻🤌🏻 mending nukari naskun acil aja 12rb dapat lauk ayam,,0,0,0,21
@Bahlil_Bahlul,2026-01-18-14:44:32,ngomongnya MBG makan bergizi gratis tapi kok selalu bikin anak keracunan 🤭 letak gizinya dimana? 😂🤣,,0,0,0,6
@lpbulukumba,2026-01-18-14:15:33,"- Dukungan penuh terhadap program nasional Makan Bergizi Gratis (MBG).

Bupati Bulukumba, Muchtar Ali Yusuf, menyambut baik kehadiran Ashari sebagai pimpinan baru di Lapas Bulukumba. Beliau menegaskan komitmennya untuk terus mendukung kebijakan pemasyarakatan, terutama yang",,1,0,0,8
@CariSini79113,2026-01-18-14:15:00,"Hati-hati, niatnya kasih makan bergizi tapi kalau isinya makanan olahan (UPF) malah bisa bahaya!  Pak Charles Honoris tegas banget ingetin soal ini di program MBG. Jangan sampai kita malah kasih ""bom waktu"" buat kesehatan anak-anak kita sendiri. Edukasi itu penting banget",,0,0,0,2
@burhans_hitam,2026-01-18-14:14:05,"Program Makan Bergizi Gratis di Papua bukan sekadar memberi makan hari ini, tetapi menyiapkan generasi kuat untuk masa depan. Anak sehat, Papua bangkit, Indonesia maju. #MBGPapua#MBGPapua , #GiziUntukMasaDepan#GiziUntukMasaDepan , #PapuaSehat#PapuaSehat ",,0,0,0,13
@pikiran_rakyat,2026-01-18-14:09:10,"Distribusi Program Makan Bergizi Gratis (MBG) di Sumenep, Jawa Timur yang menggunakan mobil Toyota Vellfire dan Toyota Alphard, serta dikawal mobil listrik BYD Sealion 7 dengan pelat nomor bertuliskan M 8 G viral di media sosial.
.
Banyak warganet yang berkomentar dan",,0,0,0,746
@jojo_botak,2026-01-18-13:51:02,Senyum bahagia adik-adik ini tidak bohong Program Makan Bergizi Gratis beneran bikin suasana kelas makin seru dan penuh energi Terima kasih Pak Presiden sudah peduli dengan gizi generasi masa depan Indonesia sehat cerdas,,0,0,1,36
@Tivannni,2026-01-18-13:21:49,MAKAN BERGIZI GRATIS,,0,0,0,1
@infodaribanten,2026-01-18-13:15:44,"Seminggu TerakhirMakan Bergizi Gratis, Terus Melaju!",,0,0,0,1
@infodaribanten,2026-01-18-13:15:12,"MAKAN BERGIZI GRATISUntuk Generasi Indonesia Sehat & Cerdas
Pemenuhan gizi seimbang sejak dini adalah investasi masa depan bangsa.",,0,0,0,5
@elshanum_hasyim,2026-01-18-13:07:55,"Program makan bergizi gratis jadi investasi masa depan, menghidupkan semangat petani dan harapan anak-anak bangsa #SetahunMBG#SetahunMBG ",,71,4,75,155
@dharma_putri45,2026-01-18-13:05:03,"Program makan bergizi gratis jadi harapan baru investasi masa depan, petani sejahtera, anak-anak punya energi untuk berprestasi #SetahunMBG#SetahunMBG ",,0,0,0,14
@candrapembasmi,2026-01-18-12:41:40,"Bergizi darimananya?Gratis darimananya?
Bocah ngeliatnya nafsu juga kg buat di makan 😪",,0,0,0,8
@ExxaLatifa,2026-01-18-12:39:24,"Dedikasi tanpa batas ditunjukkan tim di lapangan meski banjir setinggi 80 cm melanda mereka tetap bergerak mengantar ratusan porsi makanan MBG menggunakan sampan demi memastikan anak sekolah tetap makan bergizi. #LanjutkanMBG#LanjutkanMBG . 
King emyu Zulkifli Hasan bisul udang STEM  king mu",,0,0,1,894
@kacamata_ta,2026-01-18-12:38:27,"Pegawai Satuan Pelayanan Pemenuhan Gizi (SPPG) Program Makan Bergizi Gratis (MBG) ape diangkat dadi Pegawai Pemerintah dengan Perjanjian Kerja (PPPK). Wakil Kepala BGN Nanik S. Deyang dawuh contone kepala SPPG, ahli gizi, karo akuntan#KacamataTulungagung#KacamataTulungagung ",,0,0,0,108
@1427_kodim,2026-01-18-12:26:26,"Babinsa Koramil 1427/Pasangkayu Hadir Langsung, Pastikan Program Makan Bergizi Gratis Tepat Sasaran di Pasangkayuinstagram.com/p/DTo-WMHCcSR/
… …",,0,0,0,4
@Fitri4Astiana,2026-01-18-12:23:12,"Dengan 20 ribu+ SPPG aktif dan pembukaan 1 juta lapangan kerja, program Makan Bergizi Gratis terus melaju demi masa depan anak bangsa yang lebih baik. #MakanBergiziGratis#MakanBergiziGratis  #IndonesiaSehat#IndonesiaSehat  #InfoPembangunan#InfoPembangunan  #GiziNasional#GiziNasional  #EkonomiRakyat#EkonomiRakyat  #PemerintahBekerja#PemerintahBekerja ",,0,0,0,5
@MAKsahang,2026-01-18-12:16:00,"Melalui Makan Bergizi Gratis (MBG), pemenuhan gizi anak menjadi prioritas bersama. Langkah ini bukan sekadar memberi makanan, tetapi menanamkan fondasi kesehatan, kecerdasan, dan pemerataan kesejahteraan sejak dini demi Indonesia yang lebih kuat.#MBGUntukRakyat#MBGUntukRakyat #GiziUntukSemua#GiziUntukSemua ",,1,0,0,66
@visiblwe,2026-01-18-12:10:23,"Lebih dari sekadar pemenuhan gizi, program Makan Bergizi Gratis (MBG) terbukti menjadi penggerak ekonomi bangsa! Dalam setahun perjalanannya, program ini telah berhasil menyerap 800 ribu tenaga kerja di Indonesia dan mendorong aktivitas ekonomi di daerah-daerah.",,0,0,0,11
@denisaanggi_,2026-01-18-11:42:50,"Sebanyak 65 ribu warga Karimun sudah merasakan manfaat Program Makan Bergizi Gratis. Dengan pengaturan baru, distribusi lewat 27 dapur SPPG diharapkan makin merata dan berkelanjutan",,0,0,0,10
@ulva_arindu,2026-01-18-11:36:16,"Program MBG terus menunjukkan dampak nyata. Di Karimun, juknis baru SPPG memastikan penyaluran lebih terukur, dengan suplai maksimal 2.500 penerima per dapur. Hingga kini, puluhan ribu masyarakat sudah merasakan manfaat makan bergizi yang lebih merata.",,0,0,0,19
@ulva_arindu,2026-01-18-11:35:59,"Di Kabupaten Bekasi, Program Makan Bergizi Gratis bukan hanya soal gizi anak, tapi juga menggerakkan ekonomi lokal. Beban keluarga berkurang, dapur produksi berjalan, dan roda ekonomi ikut berputar—manfaatnya terasa dari rumah hingga lingkungan sekitar.",,0,0,0,71
@Mama__Azzahra,2026-01-18-11:34:59,Program Makan Bergizi Gratis (MBG) di Kabupaten Bekasi ikut mendorong perputaran ekonomi lokal. Keterlibatan pelaku usaha setempat membantu membuka peluang kerja dan menggerakkan usaha masyarakat sekitar.,,0,0,0,57
@Verdianhaganta,2026-01-18-11:20:14,"Kesiapan SPPG di Kebumen jadi bukti bahwa Program Makan Bergizi Gratis tidak hanya soal gizi, tapi juga kesiapan sistem dan keberpihakan negara pada rakyat. Saat dapur siap, manfaat bisa dirasakan lebih cepat",,0,0,0,11
@SultanRiz_,2026-01-18-11:14:16,"MBG membuktikan bahwa kebijakan yang tepat bisa berdampak luas. Saat anak-anak mendapat makan bergizi gratis, beban pengeluaran keluarga berkurang, dan roda ekonomi di sekitar dapur MBG ikut berputar.",,0,0,0,17
@Halimunkelabuu,2026-01-18-11:13:37,"Program Makan Bergizi Gratis (MBG) di Kabupaten Bekasi bukan cuma soal makanan, tapi jadi pemicu perputaran ekonomi lokal. Dari dapur hingga distribusi, banyak tangan ikut bergerak, dan manfaatnya terasa langsung di masyarakat.",,0,0,1,92
@Barkahsajaa11,2026-01-18-11:09:37,"Makan Bergizi Gratis adalah investasi masa depan. Dengan SPPG yang terus beroperasi dan dibangun, pemenuhan gizi berjalan beriringan dengan penguatan ekonomi masyarakat secara nyata.",,0,0,0,11
@BIMO_SATRIO__,2026-01-18-11:06:25,"Bukan Sekadar Filantropi, Tapi Sirkulasi Ekonomi Lokal.

Implementasi program Makan Bergizi Gratis (MBG) jangan hanya dilihat dari kacamata pemenuhan nutrisi semata. Secara geopolitik domestik, ini adalah instrumen ""Economic Multiplier Effect"" yang nyata.",,1,0,1,33
@silent_night21,2026-01-18-11:05:25,"Makan bergizi gratis mendorong pemerataan kesempatan belajar.
Program ini membantu mengurangi kesenjangan sosial, anak-anak memiliki energi positif setiap hari.

~kawal MBG~",,0,0,0,17
